,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
0,Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value,Teresa Torres,Product Talk LLC,2021,Available,244,Usually Ships 20-25 Days,English,1500,Paperback,https://cms.buybooksindia.com/uploads/books/9781736633304_0_1646646857.jpeg,"How do you know that you are making a product or service that your customers want? How do you ensure that you are improving it over time? How do you guarantee that your team is creating value for your customers in a way that creates value for your business?
In this book, you'll learn a structured and sustainable approach to continuous discovery that will help you answer each of these questions, giving you the confidence to act while also preparing you to be wrong. You'll learn to balance action with doubt so that you can get started without being blindsided by what you don't get right.",https://www.buybooksindia.com/-continuous-discovery-habits-discover-products-that-create-customer-value-and-business-value-9781736633304-60425.htm,mid range
2,TULIP OF ISTANBUL,Iskender Pala,Niyogi Books,2021,Available,392,Same Day Dispatch,English,396,Paperback,https://cms.buybooksindia.com/uploads/books/9789391125233_0_1637732871.jpeg,"  Tulip of Istanbul is a historical novel depicting the Ottoman empire’s most glorious times in art and aesthetic, elegance and grandeur of dreams. At the same time, it was an era of splurge and wastage, of economic and social collapse. Known as the Tulip Age, this period saw in 1730 a great public revolt which changed the course of Turkey’s destiny.
The novel begins with the story of a young man who finds his beautiful wife murdered on the wedding night. What is more perverse, the innocent young man himself is charged with the murder of his own wife and thrown into prison. In order to prove his innocence and to find the murderer of his lover, his only clue is a tulip bulb that he found in the palm of his dead wife. He has a secret identity which he was initially unaware of; he is a prince, a sultan’s son, who has grown up outside the palace. An intrigue develops in the power circle about his rumoured existence.
The story is interweaved with historical and cultural detail, introducing the reader to life within royal palaces and dervish lodges, to horticultural secrets about growing exclusive tulips, innovative treatment for the insanes in the asylum, torture devices in the prison, and to the conspiracies hatched in coffee houses and hamams by disaffected revolutionaries and gangsters.
Iskender Pala creates a bewitching tapestry of the splendours and vices of Istanbul at a time when the world was still in thrall to its military, political, and artistic achievements.
 ",https://www.buybooksindia.com/-tulip-of-istanbul-9789391125233-48070.htm,low range
3,"""All the Bright Places: Movie Tie-In Edition All the Bright Places: Movie Tie-In Edition""",Jennifer Niven,Penguin Random House India Private Limited,2015,Available,390,Same Day Dispatch,English,315,Paperback,https://cms.buybooksindia.com/uploads/books/9780141357034_0_1628509140.jpeg,"Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him.
Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister's recent death.
When Finch and Violet meet on the ledge of the bell tower at school, it's unclear who saves whom. And when they pair up on a project to discover the 'natural wonders' of their state, both Finch and Violet make more important discoveries: It's only with Violet that Finch can be himself - a weird, funny, live-out-loud guy who's not such a freak after all. And it's only with Finch that Violet can forget to count away the days and start living them. But as Violet's world grows, Finch's begins to shrink. How far will Violet go to save the boy she has come to love?
An intense, gripping YA novel, perfect for fans of John Green, Jay Asher, Rainbow Rowell, Gayle Forman and Jenny Downham.",https://www.buybooksindia.com/-all-the-bright-places-movie-tie-in-edition-all-the-bright-places-movie-tie-in-edition--9780141357034-37982.htm,low range
4,#1 Crush,T Gephart,T Gephart,2017,Available,316,Same Day Dispatch,English,804,Paperback,https://cms.buybooksindia.com/uploads/books/9780994475985.jpg,"Tia Monroe was smart, sassy and successful. Sure, she could get a little crazy at times--life around Tia was never boring--but that was part of her appeal. And while she didn't see herself as 'classically beautiful', she had no shortage of options in the boyfriend department. She just hadn't found one who held her interest.",https://www.buybooksindia.com/-1-crush-9780994475985-34085.htm,low range
6,(Extra)Ordinary,Keith Maginn,Kicam Projects,2016,Available,128,Same Day Dispatch,English,646,Paperback,https://cms.buybooksindia.com/uploads/books/9780997081541.jpg,"Inside each seemingly ordinary person is an extraordinary story waiting to be told. That&;s what author Keith Maginn discovered when he dug deeper to learn more about many of the people in his everyday life. One friend had overcome an addiction to crack cocaine. Another had lost a son in a tragic accident and started a foundation in his honor. Yet another was a survivor of the worst plane crash in Central American history. Each of the stories featured in (Extra)Ordinary will touch your heart, stir your soul, and open your eyes to the amazing people who are all around you. You&;ll learn to look for the incredible in the seemingly mundane, and you&;ll be reminded that everyone&;including you&;is anything but ordinary.",https://www.buybooksindia.com/-extra-ordinary-9780997081541-39944.htm,low range
8,10 Easy Lessons in Cosmic Habitforce,Napoleon Hill,Lulu.com,2016,Available,64,Same Day Dispatch,English,987,Paperback,https://cms.buybooksindia.com/uploads/books/9781329923669.jpg,"How Your Habits Predict Your Success - Or Failure Every person is where they are and what they are just because of their established habits of thoughts and action. Habits have become an increasingly popular subject, as people find that changing small habits can result in big life-changes. The term ""Habitforce"" is self-explanatory. It is a force which works through established habits. Consider that habits also act in even greater ways. As a collected whole, this Habitforce takes on greater power than the individual themselves. Consider this idea that there is a sort of cosmic medium where all habits and all human relationships are maintained in varying degrees of permanence. This is the medium where thought is translated into its physical equivalent in response to the desires and purposes of individuals. We can now begin to understand how ""Thoughts Are Things."" Are you ready to find your unlimited habitual success? Scroll up and get your copy now.",https://www.buybooksindia.com/10-easy-lessons-in-cosmic-habitforce-9781329923669-26372.htm,mid range
11,10 Judgements That Changed India,Zia Mody,Penguin Random House India Private Limited,2013,Available,256,Usually Ships 1-3 Days,English,299,Hardcover,https://cms.buybooksindia.com/uploads/books/9780670086627.jpg,"This book presents a compilation of 10 essays on some of the most influential judgmentsÂ’ that were passed by the Supreme Court of India and proved to be life-altering for the common man and the democracy of the nation. These judgments by the Indian Judiciary proved that the nationÂ’s legal system is not as irresolute as often cited. The author attempts to paint the complete picture of some of the most controversial cases, like Maneka Gandhi versus the Union Bank of India, the Union Carbide Corporation versus Union of India, Mohammed Ahmed Khan versus Shah Bano Begam and Olga Tellis versus the Bombay Municipal Corporation among others. From the matter of environmental jurisprudence and custodial deaths to the controversial topic of reservations, the author deals extensively with each case in the 10 essays and points out the effects that the Supreme courtÂ’s final verdicts produced. The book describes how the Indian judicial system is capable of impacting the lives of the millions that thrive under this democracy and succeeds in restoring the readerÂ’s faith on the legal system of the nation. The internal affairs that go about in each case, which otherwise escape scrutiny, have been shed light on through the book.",https://www.buybooksindia.com/10-judgements-that-changed-india-9780670086627-50735.htm,low range
12,10 Pillars of Wealth,Alex Becker,Brown Books Publishing,2016,Available,202,Usually Ships 20-25 Days,English,975,Paperback,https://cms.buybooksindia.com/uploads/books/9781612549200.jpg,"THINK LIKE A MULTIMILLIONAIRE: LEAVE THE 9 TO 5 BEHIND. The world has led you to believe that financial freedom is not something you can willfully create in your life. You have been taught to view wealth as something that happens only to a lucky few who win a random business lottery or are blessed with unimaginable talent. The TRUTH is that creating excessive financial wealth does not come down to luck or talent. It comes down simply to your beliefs, understanding, and views--the ""pillars"" that reinforce your every action. Alex Becker not only breaks down the most important pillars for you, but also shows you how to bring them into your life TODAY to begin generating lifelong financial freedom. DISCOVER HOW TO: Successfully quit your 9 to 5 and take back your life without taking massive financial risks. Separate your time from money so that you are constantly getting paid (even in your sleep). Understand the lessons multimillionaires have learned through years of trial and error. Map out the exact steps needed to build million-dollar businesses. Skip time-wasting mistakes and learn how to make money quickly by focusing solely on what gets you paid",https://www.buybooksindia.com/10-pillars-of-wealth-9781612549200-62101.htm,mid range
13,"10 Rules of Successful Nations,The",Ruchir Sharma,Penguin Random House India Private Limited,2020,Available,256,Usually Ships 1-3 Days,English,224,Paperback,https://cms.buybooksindia.com/uploads/books/9780141988146.jpg,"This short primer distils Ruchir Sharma's decades of global analytic experience into ten rules for identifying nations that are poised to take off or crash. A wake-up call to economists who failed to foresee every recent crisis, including the cataclysm of 2008, 10 Rules is full of insights on signs of political, economic, and social change. Sharma explains, for example, why autocrats are bad for the economy; robots are a blessing, not a curse; and consumer prices don't tell you all you need to know about inflation. He shows how currency crises begin with the flight of knowledgeable locals, not evil foreigners; how debt crises start in private companies, not government; and why the best news for any country is none at all. Rethinking economics as a practical art, 10 Rules is a must-read for business, political and academic leaders who want to understand the most important forces that shape a nation's future.",https://www.buybooksindia.com/10-rules-of-successful-nations-the-9780141988146-49873.htm,low range
14,10 STEPS TO A MORE FULFILLING LIFE,Dale Carnegie,Manjul Publishing House Pvt. Ltd.,2018,Available,244,Usually Ships 1-3 Days,English,195,Paperback,https://cms.buybooksindia.com/uploads/books/9789387383326.jpg,Whether or not we will live a truly fulfilling life will depend in a great degree upon the quality of the impression we make upon others. Everyone can cultivate the ability to develop a pleasing personality and the strength of character that will make him or her to be perceived as a real life-force. Dale Carnegie shows how to achieve just such charisma that will lead you to a more fulfilling life in 10 steps by : â€¢ Developing a good self-image â€¢ Setting and reaching achievable goals â€¢ Treating others well â€¢ Becoming a good conversationalist â€¢ Speaking with confidence and conviction â€¢ Managing good relationships â€¢ Overcoming worry and fear â€¢ Becoming a true leader â€¢ Helping others to succeed â€¢ Living a harmonious life,https://www.buybooksindia.com/10-steps-to-a-more-fulfilling-life-9789387383326-52891.htm,low range
